ticker_50,ticker_25,ticker_10,ticker_5,tickers_custom,ticker_all
AAPL,ACN,ACN,ACN,AAPL,BA
ACN,ADBE,ADBE,ADBE,ADBE,HPQ
ADBE,AMAT,BABA,BABA,CRM,BIDU
AMAT,AMZN,BKNG,DEO,INTC,MDB
AMZN,ASML,CTSH,EA,MSFT,TEAM
ASML,BABA,DEO,FB,NVDA,NET
ATVI,BKNG,EA,GOOG,ORCL,GRMN
AVGO,CMCSA,FB,GRMN,QCOM,WDC
BABA,CTSH,GOOG,INTC,EA,CSOD
BKNG,DEO,GRMN,INTU,FB,NVDA
CAT,DISCA,INTC,MSFT,GOOG,PINS
CL,EA,INTU,SWKS,NFLX,ORCL
CMCSA,FB,MSFT,,TWTR,CMCSA
COST,FICO,MTCH,,ZM,PAYC
CSCO,GIB,NVDA,,MA,STX
CTSH,GOOG,PM,,PYPL,DBX
DBX,GRMN,SWKS,,V,LOGI
DEO,HD,TXN,,AMZN,VMW
DISCA,INTC,,,NIO,INTU
EA,INTU,,,TSLA,AVGO
ERIC,JNJ,,,,MCD
FB,KLAC,,,,FDX
FICO,KO,,,,NOW
GIB,LOGI,,,,HPE
GOOG,MCD,,,,KO
GPN,MSFT,,,,GOOG
GRMN,MTCH,,,,RACE
HD,NVDA,,,,WMT
HMC,ORAN,,,,ADSK
INTC,PAYC,,,,BTI
INTU,PM,,,,SAP
JNJ,SAP,,,,HMC
KLAC,SNE,,,,TEF
KO,SNPS,,,,SYNA
LMT,SWKS,,,,ADBE
LOGI,TTWO,,,,EL
MCD,TXN,,,,ZM
MMM,VZ,,,,QCOM
MSFT,,,,,FICO
MSI,,,,,CVX
MTCH,,,,,DISCA
MU,,,,,ACIW
NFLX,,,,,MMM
NTAP,,,,,ERIC
NVDA,,,,,NKE
NYT,,,,,AMAT
OMC,,,,,NYT
ORAN,,,,,AZN
ORCL,,,,,JD
PAYC,,,,,CRM
PEP,,,,,ADI
PFE,,,,,VZ
PM,,,,,YNDX
RACE,,,,,ZNGA
SAP,,,,,VOD
SNE,,,,,WIX
SNPS,,,,,SWKS
STX,,,,,BABA
SWKS,,,,,GM
SYNA,,,,,ACN
TTWO,,,,,CL
TWTR,,,,,SHOP
TXN,,,,,HD
UI,,,,,SQ
VMW,,,,,GDDY
VOD,,,,,UI
VZ,,,,,KLAC
YNDX,,,,,DELL
ZBRA,,,,,EA
ZM,,,,,BKNG
,,,,,JNJ
,,,,,ZBRA
,,,,,AMZN
,,,,,MU
,,,,,WORK
,,,,,DOCU
,,,,,OMC
,,,,,ATVI
,,,,,IT
,,,,,PM
,,,,,TTWO
,,,,,UBER
,,,,,TSLA
,,,,,MSI
,,,,,AAPL
,,,,,PFE
,,,,,DEO
,,,,,CSCO
,,,,,BP
,,,,,NFLX
,,,,,COST
,,,,,BCE
,,,,,MSFT
,,,,,SMAR
,,,,,DXC
,,,,,CAT
,,,,,FOX
,,,,,TM
,,,,,IBM
,,,,,TMUS
,,,,,TDC
,,,,,CTSH
,,,,,MTCH
,,,,,NVS
,,,,,CAJ
,,,,,LYFT
,,,,,FB
,,,,,XRX
,,,,,FISV
,,,,,SNAP
,,,,,INTC
,,,,,ORAN
,,,,,PG
,,,,,DDOG
,,,,,AMD
,,,,,NTAP
,,,,,BOX
,,,,,DIS
,,,,,UL
,,,,,PEP
,,,,,SPOT
,,,,,GIB
,,,,,LMT
,,,,,SNPS
,,,,,TXN
,,,,,PANW
,,,,,TWTR
,,,,,WDAY
,,,,,GPN
,,,,,FIS
,,,,,XOM
,,,,,ASML
,,,,,SBUX
,,,,,SNE
,,,,,ZEN
,,,,,T
,,,,,PS
,,,,,GE
