,allocation_weight,allocation_discrete,ticker,buy_investment,buy_price
0,0.05126,1.0,AMZN,1898.010009765625,1898.010009765625
1,0.08677,8.0,BABA,1758.1600341796875,219.77000427246094
2,0.02476,,BKNG,,2074.580078125
3,0.1,45.0,CMCSA,2041.6499519348145,45.369998931884766
4,0.1,10.0,FB,2097.7999877929688,209.77999877929688
5,0.1,5.0,FICO,1914.6000671386719,382.9200134277344
6,0.1,9.0,HD,1976.9400329589844,219.66000366210938
7,0.05408,4.0,INTU,1064.6400146484375,266.1600036621094
8,0.00931,1.0,JNJ,145.97000122070312,145.97000122070312
9,0.01402,6.0,KO,329.9400100708008,54.9900016784668
10,0.1,10.0,MCD,2007.8999328613281,200.7899932861328
11,0.1,28.0,MTCH,2041.0735778808594,72.8954849243164
12,0.1,7.0,PAYC,1902.5999145507812,271.79998779296875
13,0.03723,5.0,SNPS,714.3499755859375,142.8699951171875
14,0.02258,4.0,TTWO,488.32000732421875,122.08000183105469
