,allocation_weight,allocation_discrete,ticker,buy_investment,buy_price
0,0.1,27.0,AAPL,2027.3625411987305,75.0875015258789
1,0.04361,3.0,ADBE,1003.2899780273438,334.42999267578125
2,0.01,1.0,CRM,166.99000549316406,166.99000549316406
3,0.01,3.0,INTC,182.52000045776367,60.84000015258789
4,0.01,1.0,MSFT,160.6199951171875,160.6199951171875
5,0.01,1.0,NVDA,239.91000366210938,239.91000366210938
6,0.01,4.0,ORCL,215.8000030517578,53.95000076293945
7,0.01,2.0,QCOM,177.3800048828125,88.69000244140625
8,0.01,2.0,EA,214.67999267578125,107.33999633789062
9,0.1,10.0,FB,2097.7999877929688,209.77999877929688
10,0.01,,GOOG,,1367.3699951171875
11,0.09994,6.0,NFLX,1978.8599853515625,329.80999755859375
12,0.01,6.0,TWTR,193.79999542236328,32.29999923706055
13,0.1,29.0,ZM,1992.8800354003906,68.72000122070312
14,0.1,7.0,MA,2123.7301025390625,303.3900146484375
15,0.1,19.0,PYPL,2104.25,110.75
16,0.1,11.0,V,2102.3199462890625,191.1199951171875
17,0.09239,1.0,AMZN,1898.010009765625,1898.010009765625
18,0.01,50.0,NIO,186.00000143051147,3.7200000286102295
19,0.06406,15.0,TSLA,1290.780029296875,86.052001953125
