,allocation_weight,allocation_discrete,ticker,buy_price,buy_investment,actual_allocation
0,0.05,3.0,MDB,340.1199951171875,1020.3599853515625,0.051297339034525366
1,0.05,4.0,TEAM,234.74000549316406,938.9600219726562,0.04720505633156636
2,0.05,1.0,NVDA,532.3499755859375,532.3499755859375,0.02676323804803477
3,0.05,2.0,PAYC,425.9800109863281,851.9600219726562,0.04283123869850224
4,0.05,11.0,LOGI,89.38999938964844,983.2899932861328,0.0494336909316136
5,0.03699,3.0,RACE,216.39999389648438,649.1999816894531,0.032637727899979666
6,0.00837,1.0,WMT,145.64999389648438,145.64999389648438,0.007322373696093382
7,0.02038,1.0,EL,247.4499969482422,247.4499969482422,0.012440243217860728
8,0.05,19.0,NYT,50.31999969482422,956.0799942016602,0.048065741807575384
9,0.00187,,WIX,260.94000244140625,,
10,0.05,1.0,SHOP,1059.1700439453125,1059.1700439453125,0.05324846683472761
11,0.05,4.0,SQ,215.86000061035156,863.4400024414062,0.04340838054909363
12,0.05,3.0,UI,253.13999938964844,759.4199981689453,0.03817890320566496
13,0.05,13.0,DELL,72.43000030517578,941.5900039672852,0.04733727543067842
14,0.05,1.0,AMZN,3156.969970703125,3156.969970703125,0.15871276925189923
15,0.05,5.0,TTWO,195.1999969482422,975.9999847412109,0.049067194748636966
16,0.04565,1.0,TSLA,639.8300170898438,639.8300170898438,0.03216666449323302
17,0.05,2.0,NFLX,522.4199829101562,1044.8399658203125,0.052528039841781504
18,0.05,2.0,COST,374.3800048828125,748.760009765625,0.03764298544420862
19,0.05,7.0,TMUS,129.36000061035156,905.5200042724609,0.04552390071010555
20,0.05,6.0,MTCH,144.80999755859375,868.8599853515625,0.04368086350108613
21,0.05,10.0,AMD,94.77999877929688,947.7999877929688,0.047649474703756786
22,0.00144,,SNPS,238.86000061035156,,
23,0.03571,7.0,SNE,93.37000274658203,653.5900192260742,0.032858431619376065
