,allocation_weight,allocation_discrete,ticker,buy_price,buy_investment,actual_allocation
MDB,0.05,3.0,MDB,340.1199951171875,1020.3599853515625,0.05103381982180717
TEAM,0.05,4.0,TEAM,234.74000549316406,938.9600219726562,0.046962559556588616
NVDA,0.05,2.0,NVDA,532.3499755859375,1064.699951171875,0.053251505598459085
PAYC,0.05,2.0,PAYC,425.9800109863281,851.9600219726562,0.04261121063244647
LOGI,0.05,11.0,LOGI,89.38999938964844,983.2899932861328,0.04917974545293515
RACE,0.0368418702644862,4.0,RACE,216.39999389648438,865.5999755859375,0.043293419798888996
WMT,0.0082715882014668,1.0,WMT,145.64999389648438,145.64999389648438,0.0072847579798020505
EL,0.0202701277555676,2.0,EL,247.4499969482422,494.8999938964844,0.024752673057464657
NYT,0.05,20.0,NYT,50.31999969482422,1006.3999938964844,0.050335603801128004
WIX,0.0019308062949403,,WIX,260.94000244140625,,
SHOP,0.05,1.0,SHOP,1059.1700439453125,1059.1700439453125,0.05297492449660956
SQ,0.05,5.0,SQ,215.86000061035156,1079.3000030517578,0.053981734564435495
UI,0.05,4.0,UI,253.13999938964844,1012.5599975585938,0.050643699494321466
DELL,0.05,14.0,DELL,72.43000030517578,1014.0200042724609,0.050716722467236706
AMZN,0.05,,AMZN,3156.969970703125,,
TTWO,0.05,6.0,TTWO,195.1999969482422,1171.1999816894531,0.05857815839401966
TSLA,0.0456191069395409,2.0,TSLA,639.8300170898438,1279.6600341796875,0.06400284267810911
NFLX,0.05,2.0,NFLX,522.4199829101562,1044.8399658203125,0.052258198404286665
COST,0.05,3.0,COST,374.3800048828125,1123.1400146484375,0.05617441487817793
TMUS,0.05,8.0,TMUS,129.36000061035156,1034.8800048828125,0.05176004592946036
MTCH,0.05,7.0,MTCH,144.80999755859375,1013.6699829101562,0.05069921597208393
AMD,0.05,11.0,AMD,94.77999877929688,1042.5799865722656,0.05214516440118813
SNPS,0.0014835898422331,,SNPS,238.86000061035156,,
SNE,0.0355829107017648,8.0,SNE,93.37000274658203,746.9600219726562,0.037359582620550766
