ticker_50,ticker_25,ticker_10,ticker_5,tickers_custom,ticker_all
ACN,ACN,ACN,ACN,AAPL,BA
ADBE,ADBE,ADBE,ADBE,ADBE,HPQ
ADI,AMAT,BABA,BABA,CRM,BIDU
AMAT,AMZN,BKNG,DEO,INTC,MDB
AMZN,ASML,DEO,EA,MSFT,TEAM
ASML,BABA,EA,FB,NVDA,NET
ATVI,BKNG,FB,FOX,ORCL,GRMN
AVGO,BP,FOX,GOOG,QCOM,WDC
BABA,CMCSA,GOOG,GRMN,EA,CSOD
BKNG,CTSH,GRMN,INTC,FB,NVDA
BP,DEO,INTC,INTU,GOOG,PINS
BTI,DISCA,INTU,MSFT,NFLX,ORCL
CAT,EA,MSFT,SWKS,TWTR,CMCSA
CL,FB,SWKS,,ZM,PAYC
CMCSA,FICO,TXN,,MA,STX
COST,FOX,,,PYPL,DBX
CSCO,GOOG,,,V,LOGI
CTSH,GRMN,,,AMZN,VMW
DEO,HD,,,NIO,INTU
DIS,INTC,,,TSLA,AVGO
DISCA,INTU,,,,MCD
EA,JNJ,,,,FDX
ERIC,KLAC,,,,NOW
FB,KO,,,,HPE
FICO,LOGI,,,,KO
FOX,MCD,,,,GOOG
GIB,MSFT,,,,RACE
GOOG,MTCH,,,,WMT
GRMN,NVDA,,,,ADSK
HD,ORAN,,,,BTI
HMC,PAYC,,,,SAP
INTC,PM,,,,HMC
INTU,SNPS,,,,TEF
JNJ,SWKS,,,,SYNA
KLAC,TTWO,,,,ADBE
KO,TXN,,,,EL
LMT,,,,,ZM
LOGI,,,,,QCOM
MCD,,,,,FICO
MMM,,,,,CVX
MSFT,,,,,DISCA
MSI,,,,,ACIW
MTCH,,,,,MMM
MU,,,,,ERIC
NFLX,,,,,NKE
NTAP,,,,,AMAT
NVDA,,,,,NYT
OMC,,,,,AZN
ORAN,,,,,JD
ORCL,,,,,CRM
PAYC,,,,,ADI
PEP,,,,,VZ
PM,,,,,YNDX
RACE,,,,,ZNGA
SAP,,,,,VOD
SNE,,,,,WIX
SNPS,,,,,SWKS
STX,,,,,BABA
SWKS,,,,,GM
SYNA,,,,,ACN
TTWO,,,,,CL
TWTR,,,,,SHOP
TXN,,,,,HD
UI,,,,,SQ
VMW,,,,,GDDY
VOD,,,,,UI
VZ,,,,,KLAC
YNDX,,,,,DELL
ZBRA,,,,,EA
ZM,,,,,BKNG
,,,,,JNJ
,,,,,ZBRA
,,,,,AMZN
,,,,,MU
,,,,,WORK
,,,,,DOCU
,,,,,OMC
,,,,,ATVI
,,,,,IT
,,,,,PM
,,,,,TTWO
,,,,,UBER
,,,,,TSLA
,,,,,MSI
,,,,,AAPL
,,,,,PFE
,,,,,DEO
,,,,,CSCO
,,,,,BP
,,,,,NFLX
,,,,,COST
,,,,,BCE
,,,,,MSFT
,,,,,SMAR
,,,,,DXC
,,,,,CAT
,,,,,FOX
,,,,,TM
,,,,,IBM
,,,,,TMUS
,,,,,TDC
,,,,,CTSH
,,,,,MTCH
,,,,,NVS
,,,,,CAJ
,,,,,LYFT
,,,,,FB
,,,,,XRX
,,,,,FISV
,,,,,SNAP
,,,,,INTC
,,,,,ORAN
,,,,,PG
,,,,,DDOG
,,,,,AMD
,,,,,NTAP
,,,,,BOX
,,,,,DIS
,,,,,UL
,,,,,PEP
,,,,,SPOT
,,,,,GIB
,,,,,LMT
,,,,,SNPS
,,,,,TXN
,,,,,PANW
,,,,,TWTR
,,,,,WDAY
,,,,,GPN
,,,,,FIS
,,,,,XOM
,,,,,ASML
,,,,,SBUX
,,,,,SNE
,,,,,ZEN
,,,,,T
,,,,,PS
,,,,,BB
,,,,,GE
